127.0.0.1 - - [26/May/2024:13:42:58 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2024:13:43:00 +0000] "GET /employee-management-spring-mvc/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:13:43:00 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/May/2024:13:43:09 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:13:49:32 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [26/May/2024:14:03:08 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [26/May/2024:14:05:19 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [26/May/2024:14:07:26 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [26/May/2024:14:08:05 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [26/May/2024:14:11:14 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [26/May/2024:14:11:43 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [26/May/2024:14:14:08 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:25:20 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2024:14:32:50 +0000] "GET /employee-management-spring-mvc/employees HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [26/May/2024:14:32:54 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [26/May/2024:14:33:32 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [26/May/2024:14:40:04 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 500 4223
0:0:0:0:0:0:0:1 - - [26/May/2024:14:40:38 +0000] "GET /employee-management-spring-mvc/employees/add HTTP/1.1" 200 582
